Абаза;Хакасия;39047
Абакан;Хакасия;39022
Абан;Красноярский край;39163
Абатский;Тюменская область;34556
Абдулино;Оренбургская область;35355
Абинск;Краснодарский край;86150
Авангардное;Калининградская область;40151
Агаповка;Челябинская область;35140
Агинское;Красноярский край;39142
Агрыз;Татарстан;85551
Адамовка;Оренбургская область;35365
Адлер;Краснодарский край;8622
Адреаполь;Тверская область;48267
Адыгейск;Адыгея;87772
Адыге-Хабль;Карачаево-Черкесия;87870
Азнакаево;Татарстан;85511
Азов;Ростовская область;86342
Азово;Омская область;38141
Айкино;Коми;82134
Акбулак;Коми;82134
Акбулак;Оренбургская область;35335
Аксай;Ростовская область;86350
Аксубаево;Татарстан;84344
Актаныш;Татарстан;85552
Акулово;Калининградская область;40162
Акша;Читинская область;30231
Акъяр;Башкортостан;34758
Алагир;Северная Осетия;86731
Алапаевск;Свердловская область;34346
Алатырь;Чувашия;83531
Алдан;Саха-Якутия;41145
Алеевка;Калининградская область;40158
Алейск;Алтайский край;38553
Александров;Владимирская область;49244
Александров Гай;Саратовская область;84578
Александровка;Калининградская область;40158
Александровка;Оренбургская область;35359
Александровск;Пермская область;34274
Александровское;Ставропольский край;86557
Александровское;Томская область;38255
Александро-Невский;Рязанская область;49158
Алексеевка;Самарская область;84671
Алексеевка;Калининградская область;40164
Алексеевка;Белгородская область;47234
Алексеевское;Татарстан;84341
Алексин;Тульская область;48753
Аликово;Чувашия;83535
Алнаши;Удмуртия;34150
Алтайское;Алтайский край;38537
Алькеево;Татарстан;84346
Альменево;Курганская область;35242
Альметьевск;Татарстан;8553
Амга;Саха-Якутия;41142
Амурск;Хабаровский край;42142
Анадырь;Чукотский автономный округ;42722
Анапа;Краснодарский край;86133
Ангарск;Иркутская область;3951,39518
Анжеро-Судженск;Кемеровская область;38453
Анна;Воронежская область;47346
Антропово;Костромская область;49430
Анучино;Приморский край;42362
Апастово;Татарстан;84376
Апатиты;Мурманская область;81555
Апшеронск;Краснодарский край;86152
Арбаж;Кировская область;83330
Аргаяш;Челябинская область;35132
Аргун;Чечня;87147
Ардатов;Мордовия;83431
Ардатов;Нижегородская область;83179
Ардон;Северная Осетия;86732
Арзамас;Нижегородская область;83147
Арзгир;Ставропольский край;86560
Аркадак;Саратовская область;84542
Армавир;Краснодарский край;86137
Армизонское;Тюменская область;34547
Аромашево;Тюменская область;34545
Арсеньев;Приморский край;42361
Арсеньево;Тульская область;48733
Арск;Татарстан;84366
Артем;Приморский край;42337
Артемовский;Свердловская область;34363
Арти;Свердловская область;34395
Архангельск;Архангельская область;8182
Архангельское;Башкортостан;34774
Архангельское;Тульская область;48744
Архонская;Северная Осетия;86739
Асбест;Свердловская область;34365
Асекеево;Оренбургская область;35351
Асино;Томская область;38241
Аскарово;Башкортостан;34772
Аскиз;Хакасия;39045
Аскино;Башкортостан;34771
Астрахань;Астраханская область;8512
Аткарск;Саратовская область;84552
Атня;Татарстан;84369
Атюрьево;Мордовия;83454
Атяшево;Мордовия;83434
Ахтубинск-1;Астраханская область;85111
Ачайваям;Камчатка;4154451
Ачинск;Красноярский край;39151
Ачинское;Читинская область;30239
Ачит;Свердловская область;34391
Ачхой-Мартан;Чечня;87142
Аша;Челябинская область;35159
Аше;Краснодарский край;8622
Аян;Хабаровский край;42147
Бабаево;Вологодская область;81743
Бабушкино;Калининградская область;40144
Бабынино;Калужская область;48448
Бавлы;Татарстан;85519
Багаевский;Ростовская область;86357
Баган;Новосибирская область;38353
Багратионово;Калининградская область;40142
Багратионовск;Калининградская область;40156
Баево;Алтайский край;38515
Базарный Карабулак;Саратовская область;84591
Базарный Сызган;Ульяновская область;84240
Байкалово;Свердловская область;34362
Байконур;Алтай;33622
Баймак;Башкортостан;34751
Бакалы;Башкортостан;34742
Баксан;Кабардино-Балкария;86634
Бакчар;Томская область;38249
Балабаново;Калужская область;48458
Балаково;Саратовская область;84570
Балахна;Нижегородская область;83144
Балахта;Красноярский край;39148
Балашов;Саратовская область;84545
Балезино;Удмуртия;34166
Балтай;Саратовская область;84592
Балтаси;Татарстан;84368
Балтийск;Калининградская область;40145
Барабинск;Новосибирская область;38361
Баргузин;Бурятия;30131
Барда;Пермская область;34299
Барнаул;Алтайский край;3852
Барыш;Ульяновская область;84253
Батагай-Алыта;Саха-Якутия;41126
Батайск;Ростовская область;86354
Батецкий;Новгородская область;81661
Батырево;Чувашия;83532
Башмаково;Пензенская область;84143
Беднодемьяновск;Пензенская область;84151
Бежаницы;Псковская область;81141
Бежецк;Тверская область;48231
Безенчук;Самарская область;84676
Бекенево;Калининградская область;40157
Беково;Пензенская область;84141
Белая;Курская область;47149
Белая Глина;Краснодарский край;86154
Белая Калитва;Ростовская область;86313
Белая Холуница;Кировская область;83364
Белгород;Белгородская область;4722
Белебей;Башкортостан;34716
Белебей;Читинская область;30232
Белев;Тульская область;48742
Белинский;Пензенская область;84153
Белкино;Калининградская область;40157
Белово;Кемеровская область;38452
Белогорск;Амурская область;41641
Белозерск;Вологодская область;81756
Белозерское;Курганская область;35232
Белокуриха;Алтайский край;38577
Беломорск;Карелия;81437
Белорецк;Башкортостан;34792
Белореченск;Краснодарский край;86155
Белоярский;Свердловская область;34377
Белоярский;Ханты-Мансийский автономный округ;34670
Белый;Тверская область;48250
Белый яр;Калининградская область;40157
Белый Яр;Хакасия;39041
Белый Яр;Томская область;38258
Беляевка;Оренбургская область;35334
Бердигестях;Саха-Якутия;41131
Бердск;Новосибирская область;38341
Бердюжье;Тюменская область;34554
Береговое;Калининградская область;4015668
Березник;Архангельская область;81831
Березники;Пермская область;34242
Березовка;Пермская область;34251
Березовка;Калининградская область;40158
Березовка;Калининградская область;4015668
Березовка;Калининградская область;40159
Березовка;Красноярский край;39175
Березово;Ханты-Мансийский автономный округ;34674
Березовский;Свердловская область;34369
Березовский;Кемеровская область;38445
Беслан;Северная Осетия;86737
Бессоновка;Пензенская область;84140
Бея;Хакасия;39044
Бижбуляк;Башкортостан;34743
Бийск;Алтайский край;3854
Бикин;Хабаровский край;42155
Биробиджан;Еврейская автономная область;42622
Бирск;Башкортостан;34714
Бирюлюсы;Красноярский край;39150
Бичура;Бурятия;30133
Благовещенка;Алтайский край;38564
Благовещенск;Башкортостан;34766
Благовещенск;Амурская область;4162
Благодарный;Ставропольский край;86549
Ближнее;Калининградская область;40158
Бобров;Воронежская область;47350
Богатово;Калининградская область;40158
Богатые Сабы;Татарстан;84362
Богданович;Свердловская область;34376
Боговарово;Костромская область;49451
Богородицк;Тульская область;48761
Богородск;Нижегородская область;83170
Богородское;Кировская область;83333
Богородское;Хабаровский край;42151
Боготол;Красноярский край;39157
Боград;Хакасия;39034
Богучаны;Красноярский край;39162
Богучар;Воронежская область;47366
Боковская;Ростовская область;86312
Бокситогорск;Ленинградская область;81266
Болгар;Татарстан;8247
Бологое;Тверская область;48238
Болотное;Новосибирская область;38349
Болхов;Орловская область;48640
Большаково;Калининградская область;40163
Большая Глушица;Самарская область;84673
Большая Мартыновка;Ростовская область;86395
Большая Мурта;Красноярский край;39118
Большая Поляна;Калининградская область;40159
Большая Соснова;Пермская область;34257
Большая Черниговка;Самарская область;84672
Большеречье;Омская область;38169
Большеустьикинское;Башкортостан;34770
Большие Березняки;Мордовия;83436
Большие Горки;Калининградская область;40159
Большие Уки;Омская область;38162
Большое Болдино;Нижегородская область;83138
Большое Игнатово;Мордовия;83442
Большое Мурашкино;Нижегородская область;83167
Большое Нагаткино;Ульяновская область;84245
Большое село;Калининградская область;40162
Большое Село;Ярославская область;48542
Большое Солдатское;Курская область;47136
Большое Сорокино;Тюменская область;34550
Большой Камень;Приморский край;42335
Большой Улуй;Красноярский край;39159
Большой Царын;Калмыкия;84747
Бондари;Тамбовская область;47534
Бор;Нижегородская область;83159
Борзя;Читинская область;30233
Борисовка;Белгородская область;47246
Борисоглебск;Воронежская область;47354
Борисоглебский;Ярославская область;48539
Боровичи;Новгородская область;81664
Боровск;Калужская область;48438
Борогонцы;Саха-Якутия;41131
Бородино;Красноярский край;39168
Борское;Самарская область;84667
Борское;Калининградская область;40159
Братск;Иркутская область;3953
Бреды;Челябинская область;35141
Брейтово;Ярославская область;48545
Брюховецкая;Краснодарский край;86156
Брянск;Брянская область;48322
Брянское;Калининградская область;40143
Бугульма;Татарстан;85514
Бугуруслан;Оренбургская область;35352
Буденновск;Ставропольский край;86559
Буздяк;Башкортостан;34773
Бузулук;Оренбургская область;35342
Буинск;Татарстан;84374
Буй;Костромская область;49435
Бураево;Башкортостан;34756
Бурла;Алтайский край;38572
Бутурлино;Нижегородская область;83172
Бутурлиновка;Воронежская область;47361
Быстрый Исток;Алтайский край;38571
Бычково;Калининградская область;40157
Вавож;Удмуртия;34155
Вагай;Тюменская область;34519
Вад;Нижегородская область;83141
Вадинск;Пензенская область;84142
Валдай;Новгородская область;81666
Валуйки;Белгородская область;47236
Ванино;Хабаровский край;42137
Варгаши;Курганская область;35233
Вардане;Краснодарский край;8622
Варна;Челябинская область;35142
Варнавино;Нижегородская область;83158
Васильево;Татарстан;84371
Васильково;Калининградская область;40151
Вача;Нижегородская область;83173
Ведено;Чечня;87131
Вейделевка;Белгородская область;47237
Велиж;Смоленская область;48132
Великие Луки;Псковская область;81153
Великий Новгород;Новгородская область;81622
Великий Устюг;Вологодская область;81738
Великолукское;Калининградская область;40159
Вельск;Архангельская область;81836
Венгерово;Новосибирская область;38369
Венев;Тульская область;48745
Верещагино;Пермская область;34254
Верний бисер;Калининградская область;40163
Верхневилюйск;Саха-Якутия;41133
Верхнеуральск;Челябинская область;35143
Верхнеяркеево;Башкортостан;34762
Верхние Киги;Башкортостан;34748
Верхний Ландех;Ивановская область;49349
Верхний Мамон;Воронежская область;47355
Верхний Услон;Татарстан;84379
Верхний Уфалей;Челябинская область;35164
Верхняя Пышма;Свердловская область;34368
Верхняя Салда;Свердловская область;34345
Верхняя Тойма;Архангельская область;81854
Верхняя Хава;Воронежская область;47343
Верховажье;Вологодская область;81759
Верховье;Орловская область;48676
Верхотурье;Свердловская область;34319
Верхошижемье;Кировская область;83335
Верх-Усугли;Читинская область;30264
Верх-Чебула;Кемеровская область;38444
Веселый;Ростовская область;86358
Весново;Калининградская область;40164
Ветлуга;Нижегородская область;83150
Вешенская;Ростовская область;86311
Вешкайма;Ульяновская область;84243
Взморье;Калининградская область;40152
Визинга;Коми;82131
Викулово;Тюменская область;34557
Вилюйск;Саха-Якутия;41132
Вилючинск;Камчатка;41535
Вилючинск-3;Камчатка;41538
Вичуга;Ивановская область;49354
Вишневка;Калининградская область;40163
Вишневое;Калининградская область;40157
Вишневское;Калининградская область;40150
Вишневый;Калининградская область;40159
Владивосток;Приморский край;4232
Владикавказ;Северная Осетия;8672
Владимир;Владимирская область;4922
Владимиро-Александровское;Приморский край;42365
Владимирово;Калининградская область;4015669
Вожега;Вологодская область;81744
Вознесенское;Нижегородская область;83178
Волгоград;Волгоградская область;844
Волгодонск;Ростовская область;86392
Волгореченск;Костромская область;49453
Волжск;Марий Эл;83631
Волово;Липецкая область;47473
Волово;Тульская область;48768
Вологда;Вологодская область;8172
Володаровка;Калининградская область;40141
Володарский;Астраханская область;85112
Волоколамск;Московская область;49636
Волоконовка;Белгородская область;47235
Волосово;Ленинградская область;81273
Волот;Новгородская область;81662
Волочаевское;Калининградская область;40152
Волхов;Ленинградская область;81263
Волчиха;Алтайский край;38565
Вольное;Калининградская область;40157
Вольно-Надеждинское;Приморский край;42334
Вольск;Саратовская область;84593
Воркута;Коми;82151
Воробьевка;Воронежская область;47356
Воробьево;Калининградская область;40159
Воронеж;Воронежская область;4732
Воротынец;Нижегородская область;83164
Воскресенск;Московская область;49644
Воскресенское;Саратовская область;84568
Воскресенское;Нижегородская область;83163
Восод;Калининградская область;40151
Воткинск;Удмуртия;34145
Вохма;Костромская область;49450
Всеволожск;Ленинградская область;81270
Вуктыл;Коми;82146
Вурнары;Чувашия;83537
Выборг;Ленинградская область;81278
Выгоничи;Брянская область;48341
Выкса;Нижегородская область;83177
Выльгорт;Коми;82130
Выльногорск;Коми;82130
Выселки;Краснодарский край;86157
Высокая Гора;Татарстан;84365
Высокое;Калининградская область;40151
Высокое;Калининградская область;40163
Вытегра;Вологодская область;81746
Вышний Волочек;Тверская область;48233
Вяземский;Хабаровский край;42153
Вязяма;Смоленская область;48131
Вятские Поляны;Кировская область;83334
Гаврилов Посад;Ивановская область;49355
Гавриловка-2;Тамбовская область;47551
Гаврилово;Калининградская область;40142
Гаврилов-ям;Ярославская область;48534
Гагарин;Смоленская область;48135
Гагино;Нижегородская область;83195
Гай;Оренбургская область;35362
Галич;Костромская область;49437
Гальбштадт;Алтайский край;38539
Гастеллово;Калининградская область;40163
Гатчина;Ленинградская область;81271
Гвардейск;Калининградская область;40159
Гвардейское;Калининградская область;4015669
Гдов;Псковская область;81131
Геленджик;Краснодарский край;86141
Георгиевск;Ставропольский край;86551
Георгиевское;Калининградская область;40151
Георгиевское;Костромская область;49447
Гиагинская;Адыгея;87779
Глазов;Удмуртия;34141
Глазуновка;Орловская область;48675
Глинка;Смоленская область;48165
Глушково;Калининградская область;40141
Глушково;Курская область;47132
Глядянское;Курганская область;35239
Голицыно;Московская область;49633
Головкино;Калининградская область;40158
Голышманово;Тюменская область;34546
Гончарово;Калининградская область;40157
Гордеевка;Брянская область;48340
Гордое;Калининградская область;40159
Горно-Алтайск;Алтай;38822
Горнозаводск;Пермская область;34269
Горный;Саратовская область;84577
Горняк;Алтайский край;38516
Городец;Нижегородская область;83161
Городище;Пензенская область;84158
Городовиковск;Калмыкия;84731
Гороховец;Владимирская область;49238
Горшечное;Курская область;47133
Горьковское;Омская область;38157
Горячий Ключ;Краснодарский край;86159
Грайворон;Белгородская область;47261
Грахово;Удмуртия;34163
Грачевка;Калининградская область;40150
Грачевка;Оренбургская область;35344
Грачевка;Ставропольский край;86540
Гремячинск;Пермская область;34250
Грибановский;Воронежская область;47348
Грибки;Калининградская область;40159
Грозный;Чечня;8712
Громово;Калининградская область;40163
Грязи;Липецкая область;47461
Грязовец;Вологодская область;81755
Губаха;Пермская область;34248
Губкин;Белгородская область;47241
Губкинский;Тюменская область;34536
Гудермес;Чечня;87137
Гуково;Ростовская область;86361
Гулькевичи;Краснодарский край;86160
Гурьевск;Калининградская область;40151
Гурьевск;Кемеровская область;38463
Гусев;Калининградская область;40143
Гусево;Калининградская область;40157
Гусиноозерск;Бурятия;30145
Гусь Хрустальный;Владимирская область;49241
Давлеканово;Башкортостан;34768
Далматово;Курганская область;35252
Дальнегорск;Приморский край;42373
Дальнее;Калининградская область;40158
Дальнее;Калининградская область;40159
Дальнее;Калининградская область;40157
Дальнее Константиново;Нижегородская область;83168
Дальнереченск;Приморский край;42356
Данилов;Ярославская область;48538
Данков;Липецкая область;47465
Даровский;Кировская область;83336
Дворкино;Калининградская область;40157
Дебесы;Удмуртия;34151
Дедовичи;Псковская область;81136
Демидов;Смоленская область;48147
Демидово;Калининградская область;40159
Демянск;Новгородская область;81651
Дербент;Дагестан;87240
Дергачи;Саратовская область;84563
Десногорск;Смоленская область;48153
Дзержинск;Красноярский край;39167
Дзержинск;Нижегородская область;8313
Дивеево;Нижегородская область;83143
Дивногорск;Красноярский край;39144
Дивное;Калининградская область;40152
Дивное;Калининградская область;40159
Дивное;Ставропольский край;86555
Дигора;Северная Осетия;86733
Димитровград;Ульяновская область;84235
Динская;Краснодарский край;86162
Дмитриевка;Тамбовская область;47536
Дмитриев-Льговский;Курская область;47150
Дмитров;Московская область;49622
Дмитровск-Орловский;Орловская область;48649
Дно;Псковская область;81135
Добринка;Липецкая область;47462
Доброволец;Калининградская область;40158
Добровольск;Калининградская область;40164
Доброе;Липецкая область;47463
Добрянка;Пермская область;34265
Доваторовка;Калининградская область;40141
Довольное;Новосибирская область;38354
Долгодеревенское;Челябинская область;35144
Долгоруково;Калининградская область;4015664
Долгоруково;Липецкая область;47468
Домбаровский;Оренбургская область;35367
Домново;Калининградская область;40157
Домодедово;Московская область;49679
Донецк;Ростовская область;86368
Донской;Тульская область;48746
Дорогобуж;Смоленская область;48144
Дорожное;Калининградская область;40151
Дрожжаное;Татарстан;84375
Дружба;Калининградская область;40157
Дубенки;Мордовия;83447
Дубна;Московская область;49621
Дубна;Тульская область;48732
Дубовское;Ростовская область;86377
Дубровка;Калининградская область;40156
Дубровка;Брянская область;48332
Дудинка;Красноярский край;39111
Дульдурга;Читинская область;30256
Думиничи;Калужская область;48447
Дунаевка;Калининградская область;40159
Духовницкое;Саратовская область;84573
Духовщина;Смоленская область;48166
Дюртюли;Башкортостан;34717
Дятьково;Брянская область;48333
Егорлыкская;Ростовская область;86370
Егорьевск;Московская область;49640
Ейск;Краснодарский край;86132
Екатеринбург;Свердловская область;343
Екатериновка;Саратовская область;84554
Елабуга;Татарстан;85557
Елец;Липецкая область;47467
Елизово;Камчатка;41531
Елово;Пермская область;34296
Еловое;Калининградская область;40143
Ельники;Калининградская область;40151
Ельники;Мордовия;83444
Ельня;Смоленская область;48146
Ельняки;Калининградская область;40159
Ельцовка;Алтайский край;38593
Еманжелинск;Челябинская область;35138
Емва;Коми;82139
Емельяново;Красноярский край;39133
Енисейск;Красноярский край;39115
Енотаевка;Астраханская область;85113
Ермаково;Калининградская область;40157
Ермаковское;Красноярский край;39138
Ермекеево;Башкортостан;34741
Ермишь;Рязанская область;49144
Ермолаево;Башкортостан;34757
Ершичи;Смоленская область;48155
Ершов;Саратовская область;84564
Ершово;Калининградская область;40159
Ессентуки;Ставропольский край;87934
Еткуль;Челябинская область;35145
Ефремов;Тульская область;48741
Жаворонково;Калининградская область;40143
Железноводск;Ставропольский край;87961
Железногорск;Красноярский край;39197
Железногорск;Курская область;47148
Железногорск-Илимский;Иркутская область;39566
Железнодорожный;Калининградская область;40157
Желудево;Калининградская область;40157
Жердевка;Тамбовская область;47535
Жигулевск;Самарская область;84662
Жиздра;Калужская область;48445
Жилино;Калининградская область;40162
Жиратино;Брянская область;48344
Жуковка;Брянская область;48334
Жуково;Калужская область;48432
Жуковский;Московская область;49648
Журавлевка;Калининградская область;40158
Забайкальск;Читинская область;30251
Забарье;Калининградская область;40159
Заветное;Ростовская область;86378
Завитинск;Амурская область;41636
Заводоуковск;Тюменская область;34542
Заволжье;Нижегородская область;83169
Завьялово;Удмуртия;34123
Завьялово;Алтайский край;38562
Загородный;Калининградская область;40158
Загорское;Калининградская область;40141
Задонск;Липецкая область;47471
Заинск;Татарстан;85558
Зайцево;Калининградская область;40157
Закаменск;Бурятия;301370
Залари;Иркутская область;39512
Залегощь;Орловская область;48648
Залесово;Алтайский край;38592
Залесье;Калининградская область;40158
Заливино;Калининградская область;40158
Заливное;Калининградская область;40151
Залукокоаже;Кабардино-Балкария;86637
Заовражное;Калининградская область;40141
Заозерный;Красноярский край;39165
Заозерск;Мурманская область;81556
Заозерье;Калининградская область;40151
Заокский;Тульская область;48734
Заостровье;Калининградская область;40150
Западная Двина;Тверская область;48265
Западный;Калининградская область;4015669
Заповедное;Калининградская область;40163
Заполярный;Мурманская область;81554
Зарайск;Московская область;49666
Заречное;Калининградская область;40164
Заречный;Свердловская область;34377
Заречье;Калининградская область;40151
Заречье;Калининградская область;40159
Заринск;Алтайский край;38595
Звездный;Пермская область;34263
Звенигово;Марий Эл;83645
Звенигород;Московская область;49632
Звеньевое;Калининградская область;40159
Зверево;Калининградская область;40157
Звериноголовское;Курганская область;35240
Здвинск;Новосибирская область;38363
Зеленогорск;Красноярский край;39169
Зеленоградск;Калининградская область;40150
Зеленодольск;Татарстан;84371
Зеленое;Калининградская область;40158
Зеленокумск;Ставропольский край;86552
Зеленчукская;Карачаево-Черкесия;87878
Земетчино;Пензенская область;84155
Зерноград;Ростовская область;86359
Зея;Амурская область;41658
Зилаир;Башкортостан;34752
Зима;Иркутская область;39514
Зимовники;Ростовская область;86376
Златоуст;Челябинская область;35136
Злынка;Брянская область;48358
Змеиногорск;Алтайский край;38517
Змиевка;Орловская область;48645
Знаменка;Калининградская область;40157
Знаменка;Тамбовская область;47552
Знаменск;Калининградская область;40159
Знаменск;Астраханская область;85110
Знаменское;Чечня;87132
Знаменское;Омская область;38179
Знаменское;Орловская область;48662
Золотухино;Курская область;47151
Зональное;Алтайский край;38530
Зорино;Калининградская область;40159
Зубова Поляна;Мордовия;83458
Зубцов;Тверская область;48262
Зуевка;Кировская область;83337
Зырянское;Томская область;3824322
Ибреси;Чувашия;83538
Ивановка;Амурская область;41649
Иваново;Ивановская область;4932
Ивантеевка;Саратовская область;84579
Ивдель;Свердловская область;34316
Ивня;Белгородская область;47243
Иволгинск;Бурятия;30140
Иглино;Башкортостан;34795
Игра;Удмуртия;34134
Идринское;Красноярский край;39135
Ижевск;Удмуртия;3412
Ижма;Коми;82140
Ижморский;Кемеровская область;38459
Извилино;Калининградская область;40157
Измалково;Липецкая область;47478
Изобильное;Калининградская область;40158
Изобильный;Ставропольский край;86545
Ики-Бурул;Калмыкия;84732
Икряное;Астраханская область;85114
Иланский;Красноярский край;39173
Илек;Оренбургская область;35337
Ильинский;Пермская область;34276
Ильинское-Хованское;Ивановская область;49353
Ильинско-Подомское;Архангельская область;81843
Ильичевка;Калининградская область;40158
Ильичевка;Калининградская область;40151
Илюшино;Калининградская область;40144
Инжавино;Тамбовская область;47553
Инза;Ульяновская область;84241
Инсар;Мордовия;83449
Инта;Коми;82145
Ипатово;Ставропольский край;86542
Ирбейское;Красноярский край;39174
Ирбит;Свердловская область;34355
Иркутск;Иркутская область;3952
Исаклы;Самарская область;84654
Исаково;Калининградская область;40151
Исетское;Тюменская область;34537
Исилькуль;Омская область;38173
Искитим;Новосибирская область;38343
Исса;Пензенская область;84144
Истра;Московская область;49631
Истровка;Калининградская область;40159
Исянгулово;Башкортостан;34715
Ишеевка;Ульяновская область;84254
Ишим;Тюменская область;34551
Ишимбай;Башкортостан;34794
Йошкар-ола;Марий Эл;8362
Кавалерово;Приморский край;42375
Кавказская;Краснодарский край;86193
Кагальницкая;Ростовская область;86345
Кадом;Рязанская область;49139
Кадошкино;Мордовия;83448
Кадуй;Вологодская область;81742
Кадый;Костромская область;49442
Казанское;Тюменская область;34553
Казань;Татарстан;8432
Казачинское;Иркутская область;39562
Казачинское;Красноярский край;39116
Кайбицы;Татарстан;84370
Калач;Воронежская область;47363
Калачинск;Омская область;38155
Калга;Читинская область;30249
Калевала;Карелия;81454
Калининград;Калининградская область;4012
Калинино;Калининградская область;40144
Калининск;Саратовская область;84549
Калининская;Краснодарский край;86163
Калининское;Калининградская область;40143
Калинково;Калининградская область;40159
Калиновка;Калининградская область;40141
Калманка;Алтайский край;35851
Калтасы;Башкортостан;34779
Калуга;Калужская область;4842,08422
Калужское;Калининградская область;40141
Калязин;Тверская область;48249
Камбарка;Удмуртия;34153
Каменка;Калининградская область;40157
Каменка;Воронежская область;47357
Каменка;Пензенская область;84156
Каменоломни;Ростовская область;86360
Каменск- Шахтинский;Ростовская область;86365
Каменское;Калининградская область;40141
Каменское;Камчатка;41546
Каменск-Уральский;Свердловская область;3439
Камень-на-Оби;Алтайский край;38514
Камень-Рыболов;Приморский край;42349
Камешково;Владимирская область;49248
Камское Устье;Татарстан;84377
Камызяк;Астраханская область;85115
Камышлов;Свердловская область;34375
Канаш;Калининградская область;40162
Канаш;Чувашия;83533
Кандалакша;Мурманская область;81533
Каневская;Краснодарский край;86164
Канск;Красноярский край;39161
